event_id,date,symbol,price,adv_shares,forecast_adv_p10_shares,forecast_adv_p25_shares,forecast_adv_p50_shares,is_open,base_participation,event_days,specific_variance,expected_return,expected_return_uncertainty,impact_bps_at_10pct_adv,linear_cost_bps,available_at,factor:country_HK,factor:sector_IT,factor:industry_SW
event_01,2026-01-02,URGENT_BUY,50.0,1000.0,800.0,850.0,900.0,True,0.2,2,0.0002,0.0002,0.0001,8.0,1.0,2026-01-01T16:00:00Z,1.0,1.0,1.0
event_01,2026-01-02,HEDGE_SELL,55.0,1100.0,900.0,950.0,1000.0,True,0.2,2,0.0002,-0.0002,0.0001,8.0,1.0,2026-01-01T16:00:00Z,0.0,0.0,0.0
event_01,2026-01-02,SMALL_BUY,60.0,1200.0,1000.0,1050.0,1100.0,True,0.2,2,0.0002,0.0002,0.0001,8.0,1.0,2026-01-01T16:00:00Z,1.0,1.0,1.0
event_01,2026-01-05,URGENT_BUY,50.0,1000.0,1000.0,1050.0,1100.0,True,0.2,1,0.0002,0.00025,0.0001,8.0,1.0,2026-01-01T16:00:00Z,1.0,1.0,1.0
event_01,2026-01-05,HEDGE_SELL,55.0,1100.0,1100.0,1150.0,1200.0,True,0.2,1,0.0002,-0.00025,0.0001,8.0,1.0,2026-01-01T16:00:00Z,0.0,0.0,0.0
event_01,2026-01-05,SMALL_BUY,60.0,1200.0,1200.0,1250.0,1300.0,True,0.2,1,0.0002,0.00025,0.0001,8.0,1.0,2026-01-01T16:00:00Z,1.0,1.0,1.0
event_01,2026-01-06,URGENT_BUY,50.0,1000.0,1300.0,1350.0,1400.0,True,0.2,0,0.0002,0.00030000000000000003,0.0001,8.0,1.0,2026-01-01T16:00:00Z,1.0,1.0,1.0
event_01,2026-01-06,HEDGE_SELL,55.0,1100.0,1400.0,1450.0,1500.0,True,0.2,0,0.0002,-0.00030000000000000003,0.0001,8.0,1.0,2026-01-01T16:00:00Z,0.0,0.0,0.0
event_01,2026-01-06,SMALL_BUY,60.0,1200.0,1500.0,1550.0,1600.0,True,0.2,0,0.0002,0.00030000000000000003,0.0001,8.0,1.0,2026-01-01T16:00:00Z,1.0,1.0,1.0
event_02,2026-01-12,URGENT_BUY,50.0,1000.0,800.0,850.0,900.0,True,0.2,2,0.0002,0.0002,0.0001,8.0,1.0,2026-01-09T16:00:00Z,1.0,1.0,1.0
event_02,2026-01-12,HEDGE_SELL,55.0,1100.0,900.0,950.0,1000.0,True,0.2,2,0.0002,-0.0002,0.0001,8.0,1.0,2026-01-09T16:00:00Z,0.0,0.0,0.0
event_02,2026-01-12,SMALL_BUY,60.0,1200.0,1000.0,1050.0,1100.0,True,0.2,2,0.0002,0.0002,0.0001,8.0,1.0,2026-01-09T16:00:00Z,1.0,1.0,1.0
event_02,2026-01-13,URGENT_BUY,50.0,1000.0,1000.0,1050.0,1100.0,True,0.2,1,0.0002,0.00025,0.0001,8.0,1.0,2026-01-09T16:00:00Z,1.0,1.0,1.0
event_02,2026-01-13,HEDGE_SELL,55.0,1100.0,1100.0,1150.0,1200.0,True,0.2,1,0.0002,-0.00025,0.0001,8.0,1.0,2026-01-09T16:00:00Z,0.0,0.0,0.0
event_02,2026-01-13,SMALL_BUY,60.0,1200.0,1200.0,1250.0,1300.0,True,0.2,1,0.0002,0.00025,0.0001,8.0,1.0,2026-01-09T16:00:00Z,1.0,1.0,1.0
event_02,2026-01-14,URGENT_BUY,50.0,1000.0,1300.0,1350.0,1400.0,True,0.2,0,0.0002,0.00030000000000000003,0.0001,8.0,1.0,2026-01-09T16:00:00Z,1.0,1.0,1.0
event_02,2026-01-14,HEDGE_SELL,55.0,1100.0,1400.0,1450.0,1500.0,True,0.2,0,0.0002,-0.00030000000000000003,0.0001,8.0,1.0,2026-01-09T16:00:00Z,0.0,0.0,0.0
event_02,2026-01-14,SMALL_BUY,60.0,1200.0,1500.0,1550.0,1600.0,True,0.2,0,0.0002,0.00030000000000000003,0.0001,8.0,1.0,2026-01-09T16:00:00Z,1.0,1.0,1.0
