event_id,date,symbol,realized_return,realized_adv_shares,realized_impact_bps_at_10pct_adv,realized_linear_cost_bps,available_at
event_01,2026-01-02,URGENT_BUY,0.00015,800.0,8.5,1.1,2026-01-02T18:00:00Z
event_01,2026-01-02,HEDGE_SELL,-0.00015,850.0,8.5,1.1,2026-01-02T18:00:00Z
event_01,2026-01-02,SMALL_BUY,0.00015,900.0,8.5,1.1,2026-01-02T18:00:00Z
event_01,2026-01-05,URGENT_BUY,0.00017999999999999998,1000.0,8.5,1.1,2026-01-05T18:00:00Z
event_01,2026-01-05,HEDGE_SELL,-0.00017999999999999998,1050.0,8.5,1.1,2026-01-05T18:00:00Z
event_01,2026-01-05,SMALL_BUY,0.00017999999999999998,1100.0,8.5,1.1,2026-01-05T18:00:00Z
event_01,2026-01-06,URGENT_BUY,0.00020999999999999998,1300.0,8.5,1.1,2026-01-06T18:00:00Z
event_01,2026-01-06,HEDGE_SELL,-0.00020999999999999998,1350.0,8.5,1.1,2026-01-06T18:00:00Z
event_01,2026-01-06,SMALL_BUY,0.00020999999999999998,1400.0,8.5,1.1,2026-01-06T18:00:00Z
event_02,2026-01-12,URGENT_BUY,0.00015,800.0,8.5,1.1,2026-01-12T18:00:00Z
event_02,2026-01-12,HEDGE_SELL,-0.00015,850.0,8.5,1.1,2026-01-12T18:00:00Z
event_02,2026-01-12,SMALL_BUY,0.00015,900.0,8.5,1.1,2026-01-12T18:00:00Z
event_02,2026-01-13,URGENT_BUY,0.00017999999999999998,1000.0,8.5,1.1,2026-01-13T18:00:00Z
event_02,2026-01-13,HEDGE_SELL,-0.00017999999999999998,1050.0,8.5,1.1,2026-01-13T18:00:00Z
event_02,2026-01-13,SMALL_BUY,0.00017999999999999998,1100.0,8.5,1.1,2026-01-13T18:00:00Z
event_02,2026-01-14,URGENT_BUY,0.00020999999999999998,1300.0,8.5,1.1,2026-01-14T18:00:00Z
event_02,2026-01-14,HEDGE_SELL,-0.00020999999999999998,1350.0,8.5,1.1,2026-01-14T18:00:00Z
event_02,2026-01-14,SMALL_BUY,0.00020999999999999998,1400.0,8.5,1.1,2026-01-14T18:00:00Z
