event_id,date,factor_left,factor_right,covariance,available_at
event_01,2026-01-02,country_HK,country_HK,0.0001,2026-01-01T16:00:00Z
event_01,2026-01-02,country_HK,sector_IT,0.0,2026-01-01T16:00:00Z
event_01,2026-01-02,country_HK,industry_SW,0.0,2026-01-01T16:00:00Z
event_01,2026-01-02,sector_IT,country_HK,0.0,2026-01-01T16:00:00Z
event_01,2026-01-02,sector_IT,sector_IT,0.0001,2026-01-01T16:00:00Z
event_01,2026-01-02,sector_IT,industry_SW,0.0,2026-01-01T16:00:00Z
event_01,2026-01-02,industry_SW,country_HK,0.0,2026-01-01T16:00:00Z
event_01,2026-01-02,industry_SW,sector_IT,0.0,2026-01-01T16:00:00Z
event_01,2026-01-02,industry_SW,industry_SW,0.0001,2026-01-01T16:00:00Z
event_01,2026-01-05,country_HK,country_HK,0.0001,2026-01-01T16:00:00Z
event_01,2026-01-05,country_HK,sector_IT,0.0,2026-01-01T16:00:00Z
event_01,2026-01-05,country_HK,industry_SW,0.0,2026-01-01T16:00:00Z
event_01,2026-01-05,sector_IT,country_HK,0.0,2026-01-01T16:00:00Z
event_01,2026-01-05,sector_IT,sector_IT,0.0001,2026-01-01T16:00:00Z
event_01,2026-01-05,sector_IT,industry_SW,0.0,2026-01-01T16:00:00Z
event_01,2026-01-05,industry_SW,country_HK,0.0,2026-01-01T16:00:00Z
event_01,2026-01-05,industry_SW,sector_IT,0.0,2026-01-01T16:00:00Z
event_01,2026-01-05,industry_SW,industry_SW,0.0001,2026-01-01T16:00:00Z
event_01,2026-01-06,country_HK,country_HK,0.0001,2026-01-01T16:00:00Z
event_01,2026-01-06,country_HK,sector_IT,0.0,2026-01-01T16:00:00Z
event_01,2026-01-06,country_HK,industry_SW,0.0,2026-01-01T16:00:00Z
event_01,2026-01-06,sector_IT,country_HK,0.0,2026-01-01T16:00:00Z
event_01,2026-01-06,sector_IT,sector_IT,0.0001,2026-01-01T16:00:00Z
event_01,2026-01-06,sector_IT,industry_SW,0.0,2026-01-01T16:00:00Z
event_01,2026-01-06,industry_SW,country_HK,0.0,2026-01-01T16:00:00Z
event_01,2026-01-06,industry_SW,sector_IT,0.0,2026-01-01T16:00:00Z
event_01,2026-01-06,industry_SW,industry_SW,0.0001,2026-01-01T16:00:00Z
event_02,2026-01-12,country_HK,country_HK,0.0001,2026-01-09T16:00:00Z
event_02,2026-01-12,country_HK,sector_IT,0.0,2026-01-09T16:00:00Z
event_02,2026-01-12,country_HK,industry_SW,0.0,2026-01-09T16:00:00Z
event_02,2026-01-12,sector_IT,country_HK,0.0,2026-01-09T16:00:00Z
event_02,2026-01-12,sector_IT,sector_IT,0.0001,2026-01-09T16:00:00Z
event_02,2026-01-12,sector_IT,industry_SW,0.0,2026-01-09T16:00:00Z
event_02,2026-01-12,industry_SW,country_HK,0.0,2026-01-09T16:00:00Z
event_02,2026-01-12,industry_SW,sector_IT,0.0,2026-01-09T16:00:00Z
event_02,2026-01-12,industry_SW,industry_SW,0.0001,2026-01-09T16:00:00Z
event_02,2026-01-13,country_HK,country_HK,0.0001,2026-01-09T16:00:00Z
event_02,2026-01-13,country_HK,sector_IT,0.0,2026-01-09T16:00:00Z
event_02,2026-01-13,country_HK,industry_SW,0.0,2026-01-09T16:00:00Z
event_02,2026-01-13,sector_IT,country_HK,0.0,2026-01-09T16:00:00Z
event_02,2026-01-13,sector_IT,sector_IT,0.0001,2026-01-09T16:00:00Z
event_02,2026-01-13,sector_IT,industry_SW,0.0,2026-01-09T16:00:00Z
event_02,2026-01-13,industry_SW,country_HK,0.0,2026-01-09T16:00:00Z
event_02,2026-01-13,industry_SW,sector_IT,0.0,2026-01-09T16:00:00Z
event_02,2026-01-13,industry_SW,industry_SW,0.0001,2026-01-09T16:00:00Z
event_02,2026-01-14,country_HK,country_HK,0.0001,2026-01-09T16:00:00Z
event_02,2026-01-14,country_HK,sector_IT,0.0,2026-01-09T16:00:00Z
event_02,2026-01-14,country_HK,industry_SW,0.0,2026-01-09T16:00:00Z
event_02,2026-01-14,sector_IT,country_HK,0.0,2026-01-09T16:00:00Z
event_02,2026-01-14,sector_IT,sector_IT,0.0001,2026-01-09T16:00:00Z
event_02,2026-01-14,sector_IT,industry_SW,0.0,2026-01-09T16:00:00Z
event_02,2026-01-14,industry_SW,country_HK,0.0,2026-01-09T16:00:00Z
event_02,2026-01-14,industry_SW,sector_IT,0.0,2026-01-09T16:00:00Z
event_02,2026-01-14,industry_SW,industry_SW,0.0001,2026-01-09T16:00:00Z
