event_id,as_of,information_cutoff,risk_aversion,status,economically_viable,training_event_count,training_event_ids,selected_policy_id,fallback_policy_id,profile_confidence,predicted_net_pnl_bps,prediction_standard_error_bps,net_pnl_lower_bound_bps,realized_risk_bps,realized_risk_budget_bps,contextual_ridge_multiplier,contextual_cv_rmse_bps,current_feature_capacity_pressure,current_feature_alpha_cost_ratio,current_feature_liquidity_ramp_strength,current_feature_factor_concentration,current_feature_forecast_uncertainty_ratio,policy_aggressiveness,risk_frontier_fraction,liquidity_quantile,liquidity_shape_fraction,alpha_confidence,factor_stress_fraction,selected_net_pnl_bps,fallback_net_pnl_bps,selected_within_event_drawdown_bps,fallback_within_event_drawdown_bps,selected_hard_pass,selected_behavior_pass
context_event_01,2021-01-04 16:00:00,2021-01-04 16:00:00,high,fallback_contextual_warmup,False,0,,policy_0050,policy_0050,0.975,,,,,,,,0.7541582897411416,0.9967967224520291,0.87562657968179,0.1989848166062666,0.435246061715125,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,1.374082825837319,1.374082825837319,0.4646214215067512,0.4646214215067512,True,True
context_event_01,2021-01-04 16:00:00,2021-01-04 16:00:00,medium,fallback_contextual_warmup,False,0,,policy_0500,policy_0500,0.75,,,,,,,,0.7541582897411416,0.9967967224520291,0.87562657968179,0.1989848166062666,0.435246061715125,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,2.8793595106507732,2.8793595106507732,0.8350217216427334,0.8350217216427334,True,True
context_event_01,2021-01-04 16:00:00,2021-01-04 16:00:00,low,fallback_contextual_warmup,False,0,,policy_1000,policy_1000,0.5,,,,,,,,0.7541582897411416,0.9967967224520291,0.87562657968179,0.1989848166062666,0.435246061715125,1.0,1.0,0.5,0.0,0.5,0.0,3.3412031875989667,3.3412031875989667,1.8130282329727656,1.8130282329727656,True,True
context_event_02,2021-01-18 16:00:00,2021-01-18 16:00:00,high,fallback_contextual_warmup,False,1,context_event_01,policy_0050,policy_0050,0.975,,,,,,,,0.5294837275888513,1.3073387808543626,1.5882514302042352,0.17133561699319144,1.0389002379574936,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,2.335909824281549,2.335909824281549,0.3216120922347256,0.3216120922347256,True,True
context_event_02,2021-01-18 16:00:00,2021-01-18 16:00:00,medium,fallback_contextual_warmup,False,1,context_event_01,policy_0500,policy_0500,0.75,,,,,,,,0.5294837275888513,1.3073387808543626,1.5882514302042352,0.17133561699319144,1.0389002379574936,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,3.3042109487681737,3.3042109487681737,0.7238542551654555,0.7238542551654555,True,True
context_event_02,2021-01-18 16:00:00,2021-01-18 16:00:00,low,fallback_contextual_warmup,False,1,context_event_01,policy_1000,policy_1000,0.5,,,,,,,,0.5294837275888513,1.3073387808543626,1.5882514302042352,0.17133561699319144,1.0389002379574936,1.0,1.0,0.5,0.0,0.5,0.0,2.193113243038496,2.193113243038496,1.680156090173732,1.680156090173732,True,True
context_event_03,2021-02-01 16:00:00,2021-02-01 16:00:00,high,fallback_contextual_warmup,False,2,context_event_01|context_event_02,policy_0050,policy_0050,0.975,,,,,,,,0.9493709738081823,1.0792598575477124,1.718296757494728,0.09592816650331772,0.9833703105451375,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,1.7688605391423462,1.7688605391423462,0.3077061950404743,0.3077061950404743,True,True
context_event_03,2021-02-01 16:00:00,2021-02-01 16:00:00,medium,fallback_contextual_warmup,False,2,context_event_01|context_event_02,policy_0500,policy_0500,0.75,,,,,,,,0.9493709738081823,1.0792598575477124,1.718296757494728,0.09592816650331772,0.9833703105451375,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,3.0103600887466957,3.0103600887466957,0.785698555920889,0.785698555920889,True,True
context_event_03,2021-02-01 16:00:00,2021-02-01 16:00:00,low,fallback_contextual_warmup,False,2,context_event_01|context_event_02,policy_1000,policy_1000,0.5,,,,,,,,0.9493709738081823,1.0792598575477124,1.718296757494728,0.09592816650331772,0.9833703105451375,1.0,1.0,0.5,0.0,0.5,0.0,3.2277501466481375,3.2277501466481375,1.6685320671500152,1.6685320671500152,True,True
context_event_04,2021-02-15 16:00:00,2021-02-15 16:00:00,high,fallback_contextual_warmup,False,3,context_event_01|context_event_02|context_event_03,policy_0050,policy_0050,0.975,,,,,,,,0.40445229594571813,0.2749914058941557,2.38939631865976,0.08481374459234532,0.30513516008352237,0.05,0.05,0.12000000000000001,0.95,0.975,0.95,2.384843182724348,2.384843182724348,0.26040030013598214,0.26040030013598214,True,True
context_event_04,2021-02-15 16:00:00,2021-02-15 16:00:00,medium,fallback_contextual_warmup,False,3,context_event_01|context_event_02|context_event_03,policy_0500,policy_0500,0.75,,,,,,,,0.40445229594571813,0.2749914058941557,2.38939631865976,0.08481374459234532,0.30513516008352237,0.5,0.5,0.30000000000000004,0.5,0.75,0.5,2.9793903467971536,2.9793903467971536,0.7884068114660147,0.7884068114660147,True,True
