date,factor,factor_dollars,normalized_abs_exposure_pct,event_id,strategy,policy_id,policy_aggressiveness
2026-01-02,country_HK,69.82559039493147,20.28013510804792,event_01,forecast_liquidity,policy_0050,0.05
2026-01-02,sector_IT,69.82559039493147,20.28013510804792,event_01,forecast_liquidity,policy_0050,0.05
2026-01-02,industry_SW,69.82559039493147,20.28013510804792,event_01,forecast_liquidity,policy_0050,0.05
2026-01-05,country_HK,505.6695367365949,32.24999603425465,event_01,forecast_liquidity,policy_0050,0.05
2026-01-05,sector_IT,505.6695367365949,32.24999603425465,event_01,forecast_liquidity,policy_0050,0.05
2026-01-05,industry_SW,505.6695367365949,32.24999603425465,event_01,forecast_liquidity,policy_0050,0.05
2026-01-06,country_HK,7400.000000000002,62.71186440677968,event_01,forecast_liquidity,policy_0050,0.05
2026-01-06,sector_IT,7400.000000000002,62.71186440677968,event_01,forecast_liquidity,policy_0050,0.05
2026-01-06,industry_SW,7400.000000000002,62.71186440677968,event_01,forecast_liquidity,policy_0050,0.05
2026-01-12,country_HK,69.82559039493147,20.28013510804792,event_02,forecast_liquidity,policy_0050,0.05
2026-01-12,sector_IT,69.82559039493147,20.28013510804792,event_02,forecast_liquidity,policy_0050,0.05
2026-01-12,industry_SW,69.82559039493147,20.28013510804792,event_02,forecast_liquidity,policy_0050,0.05
2026-01-13,country_HK,505.6695367365949,32.24999603425465,event_02,forecast_liquidity,policy_0050,0.05
2026-01-13,sector_IT,505.6695367365949,32.24999603425465,event_02,forecast_liquidity,policy_0050,0.05
2026-01-13,industry_SW,505.6695367365949,32.24999603425465,event_02,forecast_liquidity,policy_0050,0.05
2026-01-14,country_HK,7400.000000000002,62.71186440677968,event_02,forecast_liquidity,policy_0050,0.05
2026-01-14,sector_IT,7400.000000000002,62.71186440677968,event_02,forecast_liquidity,policy_0050,0.05
2026-01-14,industry_SW,7400.000000000002,62.71186440677968,event_02,forecast_liquidity,policy_0050,0.05
2026-01-02,country_HK,396.8876454777964,31.659743576750106,event_01,forecast_liquidity,policy_0200,0.2
2026-01-02,sector_IT,396.8876454777964,31.659743576750106,event_01,forecast_liquidity,policy_0200,0.2
2026-01-02,industry_SW,396.8876454777964,31.659743576750106,event_01,forecast_liquidity,policy_0200,0.2
2026-01-05,country_HK,1326.9229356322112,39.24381819315984,event_01,forecast_liquidity,policy_0200,0.2
2026-01-05,sector_IT,1326.9229356322112,39.24381819315984,event_01,forecast_liquidity,policy_0200,0.2
2026-01-05,industry_SW,1326.9229356322112,39.24381819315984,event_01,forecast_liquidity,policy_0200,0.2
2026-01-06,country_HK,7400.000000000004,62.71186440677967,event_01,forecast_liquidity,policy_0200,0.2
2026-01-06,sector_IT,7400.000000000004,62.71186440677967,event_01,forecast_liquidity,policy_0200,0.2
2026-01-06,industry_SW,7400.000000000004,62.71186440677967,event_01,forecast_liquidity,policy_0200,0.2
2026-01-12,country_HK,396.8876454777964,31.659743576750106,event_02,forecast_liquidity,policy_0200,0.2
2026-01-12,sector_IT,396.8876454777964,31.659743576750106,event_02,forecast_liquidity,policy_0200,0.2
2026-01-12,industry_SW,396.8876454777964,31.659743576750106,event_02,forecast_liquidity,policy_0200,0.2
2026-01-13,country_HK,1326.9229356322112,39.24381819315984,event_02,forecast_liquidity,policy_0200,0.2
2026-01-13,sector_IT,1326.9229356322112,39.24381819315984,event_02,forecast_liquidity,policy_0200,0.2
2026-01-13,industry_SW,1326.9229356322112,39.24381819315984,event_02,forecast_liquidity,policy_0200,0.2
2026-01-14,country_HK,7400.000000000004,62.71186440677967,event_02,forecast_liquidity,policy_0200,0.2
2026-01-14,sector_IT,7400.000000000004,62.71186440677967,event_02,forecast_liquidity,policy_0200,0.2
2026-01-14,industry_SW,7400.000000000004,62.71186440677967,event_02,forecast_liquidity,policy_0200,0.2
2026-01-02,country_HK,460.3180730270005,32.591394554690964,event_01,forecast_liquidity,policy_0350,0.35
2026-01-02,sector_IT,460.3180730270005,32.591394554690964,event_01,forecast_liquidity,policy_0350,0.35
2026-01-02,industry_SW,460.3180730270005,32.591394554690964,event_01,forecast_liquidity,policy_0350,0.35
2026-01-05,country_HK,1474.0299106601558,40.468679484835306,event_01,forecast_liquidity,policy_0350,0.35
2026-01-05,sector_IT,1474.0299106601558,40.468679484835306,event_01,forecast_liquidity,policy_0350,0.35
2026-01-05,industry_SW,1474.0299106601558,40.468679484835306,event_01,forecast_liquidity,policy_0350,0.35
2026-01-06,country_HK,7400.000000000003,62.71186440677966,event_01,forecast_liquidity,policy_0350,0.35
2026-01-06,sector_IT,7400.000000000003,62.71186440677966,event_01,forecast_liquidity,policy_0350,0.35
2026-01-06,industry_SW,7400.000000000003,62.71186440677966,event_01,forecast_liquidity,policy_0350,0.35
2026-01-12,country_HK,460.3180730270005,32.591394554690964,event_02,forecast_liquidity,policy_0350,0.35
2026-01-12,sector_IT,460.3180730270005,32.591394554690964,event_02,forecast_liquidity,policy_0350,0.35
2026-01-12,industry_SW,460.3180730270005,32.591394554690964,event_02,forecast_liquidity,policy_0350,0.35
2026-01-13,country_HK,1474.0299106601558,40.468679484835306,event_02,forecast_liquidity,policy_0350,0.35
2026-01-13,sector_IT,1474.0299106601558,40.468679484835306,event_02,forecast_liquidity,policy_0350,0.35
2026-01-13,industry_SW,1474.0299106601558,40.468679484835306,event_02,forecast_liquidity,policy_0350,0.35
2026-01-14,country_HK,7400.000000000003,62.71186440677966,event_02,forecast_liquidity,policy_0350,0.35
2026-01-14,sector_IT,7400.000000000003,62.71186440677966,event_02,forecast_liquidity,policy_0350,0.35
2026-01-14,industry_SW,7400.000000000003,62.71186440677966,event_02,forecast_liquidity,policy_0350,0.35
2026-01-02,country_HK,1292.516768171429,46.10785833025733,event_01,forecast_liquidity,policy_0500,0.5
2026-01-02,sector_IT,1292.516768171429,46.10785833025733,event_01,forecast_liquidity,policy_0500,0.5
2026-01-02,industry_SW,1292.516768171429,46.10785833025733,event_01,forecast_liquidity,policy_0500,0.5
2026-01-05,country_HK,3094.7430658050807,51.28048705601258,event_01,forecast_liquidity,policy_0500,0.5
2026-01-05,sector_IT,3094.7430658050807,51.28048705601258,event_01,forecast_liquidity,policy_0500,0.5
2026-01-05,industry_SW,3094.7430658050807,51.28048705601258,event_01,forecast_liquidity,policy_0500,0.5
2026-01-06,country_HK,7400.000000000002,62.71186440677966,event_01,forecast_liquidity,policy_0500,0.5
2026-01-06,sector_IT,7400.000000000002,62.71186440677966,event_01,forecast_liquidity,policy_0500,0.5
2026-01-06,industry_SW,7400.000000000002,62.71186440677966,event_01,forecast_liquidity,policy_0500,0.5
2026-01-12,country_HK,1292.516768171429,46.10785833025733,event_02,forecast_liquidity,policy_0500,0.5
2026-01-12,sector_IT,1292.516768171429,46.10785833025733,event_02,forecast_liquidity,policy_0500,0.5
2026-01-12,industry_SW,1292.516768171429,46.10785833025733,event_02,forecast_liquidity,policy_0500,0.5
2026-01-13,country_HK,3094.7430658050807,51.28048705601258,event_02,forecast_liquidity,policy_0500,0.5
2026-01-13,sector_IT,3094.7430658050807,51.28048705601258,event_02,forecast_liquidity,policy_0500,0.5
2026-01-13,industry_SW,3094.7430658050807,51.28048705601258,event_02,forecast_liquidity,policy_0500,0.5
2026-01-14,country_HK,7400.000000000002,62.71186440677966,event_02,forecast_liquidity,policy_0500,0.5
2026-01-14,sector_IT,7400.000000000002,62.71186440677966,event_02,forecast_liquidity,policy_0500,0.5
2026-01-14,industry_SW,7400.000000000002,62.71186440677966,event_02,forecast_liquidity,policy_0500,0.5
2026-01-02,country_HK,1480.088122429138,47.89707950308616,event_01,forecast_liquidity,policy_0650,0.65
2026-01-02,sector_IT,1480.088122429138,47.89707950308616,event_01,forecast_liquidity,policy_0650,0.65
2026-01-02,industry_SW,1480.088122429138,47.89707950308616,event_01,forecast_liquidity,policy_0650,0.65
2026-01-05,country_HK,3357.9011932791072,52.452294726641746,event_01,forecast_liquidity,policy_0650,0.65
2026-01-05,sector_IT,3357.9011932791072,52.452294726641746,event_01,forecast_liquidity,policy_0650,0.65
2026-01-05,industry_SW,3357.9011932791072,52.452294726641746,event_01,forecast_liquidity,policy_0650,0.65
2026-01-06,country_HK,7400.000000000004,62.71186440677967,event_01,forecast_liquidity,policy_0650,0.65
2026-01-06,sector_IT,7400.000000000004,62.71186440677967,event_01,forecast_liquidity,policy_0650,0.65
2026-01-06,industry_SW,7400.000000000004,62.71186440677967,event_01,forecast_liquidity,policy_0650,0.65
2026-01-12,country_HK,1480.088122429138,47.89707950308616,event_02,forecast_liquidity,policy_0650,0.65
2026-01-12,sector_IT,1480.088122429138,47.89707950308616,event_02,forecast_liquidity,policy_0650,0.65
2026-01-12,industry_SW,1480.088122429138,47.89707950308616,event_02,forecast_liquidity,policy_0650,0.65
2026-01-13,country_HK,3357.9011932791072,52.452294726641746,event_02,forecast_liquidity,policy_0650,0.65
2026-01-13,sector_IT,3357.9011932791072,52.452294726641746,event_02,forecast_liquidity,policy_0650,0.65
2026-01-13,industry_SW,3357.9011932791072,52.452294726641746,event_02,forecast_liquidity,policy_0650,0.65
2026-01-14,country_HK,7400.000000000004,62.71186440677967,event_02,forecast_liquidity,policy_0650,0.65
2026-01-14,sector_IT,7400.000000000004,62.71186440677967,event_02,forecast_liquidity,policy_0650,0.65
2026-01-14,industry_SW,7400.000000000004,62.71186440677967,event_02,forecast_liquidity,policy_0650,0.65
2026-01-02,country_HK,1681.8963484773335,49.68903958290986,event_01,forecast_liquidity,policy_0800,0.8
2026-01-02,sector_IT,1681.8963484773335,49.68903958290986,event_01,forecast_liquidity,policy_0800,0.8
2026-01-02,industry_SW,1681.8963484773335,49.68903958290986,event_01,forecast_liquidity,policy_0800,0.8
2026-01-05,country_HK,3634.036100616593,53.66135928779651,event_01,forecast_liquidity,policy_0800,0.8
2026-01-05,sector_IT,3634.036100616593,53.66135928779651,event_01,forecast_liquidity,policy_0800,0.8
2026-01-05,industry_SW,3634.036100616593,53.66135928779651,event_01,forecast_liquidity,policy_0800,0.8
2026-01-06,country_HK,7400.000000000003,62.71186440677967,event_01,forecast_liquidity,policy_0800,0.8
2026-01-06,sector_IT,7400.000000000003,62.71186440677967,event_01,forecast_liquidity,policy_0800,0.8
2026-01-06,industry_SW,7400.000000000003,62.71186440677967,event_01,forecast_liquidity,policy_0800,0.8
2026-01-12,country_HK,1681.8963484773335,49.68903958290986,event_02,forecast_liquidity,policy_0800,0.8
2026-01-12,sector_IT,1681.8963484773335,49.68903958290986,event_02,forecast_liquidity,policy_0800,0.8
2026-01-12,industry_SW,1681.8963484773335,49.68903958290986,event_02,forecast_liquidity,policy_0800,0.8
2026-01-13,country_HK,3634.036100616593,53.66135928779651,event_02,forecast_liquidity,policy_0800,0.8
2026-01-13,sector_IT,3634.036100616593,53.66135928779651,event_02,forecast_liquidity,policy_0800,0.8
