event_id,policy_id,net_pnl_bps,within_event_max_drawdown_bps,hard_pass,behavior_pass
context_event_01,policy_0050,1.374082825837319,0.4646214215067512,True,True
context_event_01,policy_0200,1.8990595088963873,0.5962335137414768,True,True
context_event_01,policy_0350,6.3441446913144315,0.4079755480448655,False,True
context_event_01,policy_0500,2.8793595106507732,0.8350217216427334,True,True
context_event_01,policy_0650,6.296860784590197,0.4984756766722067,True,False
context_event_01,policy_0800,3.4009248080437593,1.33596790892528,True,True
context_event_01,policy_1000,3.3412031875989667,1.8130282329727656,True,True
context_event_02,policy_0050,2.335909824281549,0.3216120922347256,True,True
context_event_02,policy_0200,2.7226846012166015,0.43335412653811434,True,True
context_event_02,policy_0350,5.43097849713034,0.26040030013598214,True,True
context_event_02,policy_0500,3.3042109487681737,0.7238542551654555,True,True
context_event_02,policy_0650,4.69182804769694,0.4113464874185291,True,True
context_event_02,policy_0800,2.644305755345606,1.2384068114660145,True,True
context_event_02,policy_1000,2.193113243038496,1.680156090173732,True,True
context_event_03,policy_0050,1.7688605391423462,0.3077061950404743,True,True
context_event_03,policy_0200,2.20090500268957,0.4347523686383422,True,True
context_event_03,policy_0350,6.021702046721464,0.2982063236678155,True,True
context_event_03,policy_0500,3.0103600887466957,0.785698555920889,True,True
context_event_03,policy_0650,5.794548547419364,0.46275887996837467,True,True
context_event_03,policy_0800,3.3092675825253353,1.254508158676092,True,True
context_event_03,policy_1000,3.2277501466481375,1.6685320671500152,True,True
context_event_04,policy_0050,2.384843182724348,0.26040030013598214,True,True
context_event_04,policy_0200,2.609003095542731,0.42385425516545555,True,True
context_event_04,policy_0350,5.059128145184503,0.31134648741852905,True,True
context_event_04,policy_0500,2.9793903467971536,0.7884068114660147,True,True
context_event_04,policy_0650,4.236795167339933,0.4301560901737322,True,True
context_event_04,policy_0800,2.1105157953009064,1.1941799986476553,True,True
context_event_04,policy_1000,1.4435675108752997,1.6135547895246127,True,True
context_event_05,policy_0050,2.281892469326594,0.27385425516545553,True,True
context_event_05,policy_0200,2.5788677876674284,0.46134648741852907,True,True
context_event_05,policy_0350,5.319313121693207,0.33840681146601465,True,True
context_event_05,policy_0500,3.2270760483737337,0.7801560901737322,True,True
context_event_05,policy_0650,4.7832929556309525,0.39417999864765546,True,False
context_event_05,policy_0800,2.789569576924189,1.1635547895246128,True,True
context_event_05,policy_1000,2.3416210106101287,1.6164371388369418,True,True
context_event_06,policy_0050,1.9379964802203604,0.31134648741852905,True,True
context_event_06,policy_0200,2.6936301264466502,0.48840681146601467,True,True
context_event_06,policy_0350,6.836552898461954,0.33015609017373215,True,True
context_event_06,policy_0500,4.51632424147662,0.7441799986476555,True,True
context_event_06,policy_0650,7.423257891511736,0.36355478952461295,True,True
context_event_06,policy_0800,6.107547288829085,1.166437138836942,True,True
context_event_06,policy_1000,6.924606392391089,1.650177027919522,True,True
context_event_07,policy_0050,1.7376721295983892,0.33840681146601465,True,True
context_event_07,policy_0200,2.2352647724634247,0.4801560901737322,True,True
context_event_07,policy_0350,6.069066440523435,0.2941799986476554,True,True
context_event_07,policy_0500,3.389805906743235,0.7135547895246129,True,True
context_event_07,policy_0650,6.083658263944535,0.3664371388369419,True,True
context_event_07,policy_0800,3.8238158964465474,1.200177027919522,True,True
context_event_07,policy_1000,3.75890449097595,1.6837541583492996,True,True
context_event_08,policy_0050,1.5661492779435273,0.33015609017373215,True,True
context_event_08,policy_0200,2.2962973549740293,0.44417999864765545,True,True
context_event_08,policy_0350,6.804191324871909,0.2635547895246129,False,True
context_event_08,policy_0500,3.9280216431852106,0.7164371388369419,True,True
context_event_08,policy_0650,7.244967672284737,0.40017702791952203,True,True
context_event_08,policy_0800,5.202882842794181,1.2337541583492997,True,True
context_event_08,policy_1000,5.700221794414514,1.6862978712580077,True,True
context_event_09,policy_0050,1.4997111774392293,0.4438312040231525,True,True
context_event_09,policy_0200,1.7001973090267883,0.56320599490011,True,True
context_event_09,policy_0350,5.230160799442659,0.41608834421243895,True,True
context_event_09,policy_0500,1.9322097076254336,0.8998282332950192,True,True
context_event_09,policy_0650,4.4544947407481095,0.5834053637247969,True,False
context_event_09,policy_0800,0.9656447276975303,1.3859490766335048,True,True
context_event_09,policy_1000,-0.10465652953070995,1.8051206941038103,True,True
context_event_10,policy_0050,1.9001971233014867,0.2635547895246129,True,True
context_event_10,policy_0200,2.3051795299114466,0.4164371388369419,True,True
context_event_10,policy_0350,5.666985788791369,0.300177027919522,True,True
context_event_10,policy_0500,2.9511400659876337,0.7837541583492997,True,True
context_event_10,policy_0650,5.112842602621635,0.4362978712580079,True,True
context_event_10,policy_0800,2.5497761526855847,1.2054694887283133,True,True
context_event_10,policy_1000,2.086957394950947,1.6196124834856471,True,True
context_event_11,policy_0050,2.005864031594588,0.26643713883694187,True,True
context_event_11,policy_0200,2.444163829598928,0.450177027919522,True,True
context_event_11,policy_0350,5.808896222664775,0.33375415834929967,True,True
context_event_11,policy_0500,3.1823109776962752,0.7862978712580079,True,True
context_event_11,policy_0650,5.357226369925002,0.40546948872831334,True,True
context_event_11,policy_0800,3.05998516044622,1.1696124834856472,True,True
context_event_11,policy_1000,2.8284670710045248,1.6116936207870645,True,True
context_event_12,policy_0050,1.868836576982279,0.3472341390789906,True,True
context_event_12,policy_0200,2.0706932144192245,0.5308112695087683,True,True
context_event_12,policy_0350,5.272975947331023,0.38335498241747645,True,True
context_event_12,policy_0500,2.3256630340166433,0.802526599887782,True,True
