event_id,date,day_index,symbol,flat_adv_shares,quantile_forecast_adv_shares,forecast_adv_shares,realized_adv_shares,forecast_adv_multiplier,realized_adv_multiplier
event_01,2026-01-02,1,URGENT_BUY,1000.0,859.7726830318661,927.2392803542493,800.0,0.9272392803542493,0.8
event_01,2026-01-02,1,HEDGE_SELL,1100.0,959.7958863520395,1027.5093551823475,850.0,0.934099413802134,0.7727272727272727
event_01,2026-01-02,1,SMALL_BUY,1200.0,1059.8147909050467,1127.7312397402388,900.0,0.9397760331168657,0.75
event_01,2026-01-05,2,URGENT_BUY,1000.0,1059.8147909050467,1029.4730646816588,1000.0,1.0294730646816588,1.0
event_01,2026-01-05,2,HEDGE_SELL,1100.0,1159.8304901495226,1129.5191628141927,1050.0,1.026835602558357,0.9545454545454546
event_01,2026-01-05,2,SMALL_BUY,1200.0,1259.8437356473646,1229.5578403543434,1100.0,1.0246315336286196,0.9166666666666666
event_01,2026-01-06,3,URGENT_BUY,1000.0,1359.8550610135353,1166.1282352355315,1300.0,1.1661282352355316,1.3
event_01,2026-01-06,3,HEDGE_SELL,1100.0,1459.8648555843515,1267.221898935931,1350.0,1.1520199081235736,1.2272727272727273
event_01,2026-01-06,3,SMALL_BUY,1200.0,1559.8734100953934,1368.1549956472302,1400.0,1.1401291630393584,1.1666666666666667
event_02,2026-01-12,1,URGENT_BUY,1000.0,859.7726830318661,927.2392803542493,800.0,0.9272392803542493,0.8
event_02,2026-01-12,1,HEDGE_SELL,1100.0,959.7958863520395,1027.5093551823475,850.0,0.934099413802134,0.7727272727272727
event_02,2026-01-12,1,SMALL_BUY,1200.0,1059.8147909050467,1127.7312397402388,900.0,0.9397760331168657,0.75
event_02,2026-01-13,2,URGENT_BUY,1000.0,1059.8147909050467,1029.4730646816588,1000.0,1.0294730646816588,1.0
event_02,2026-01-13,2,HEDGE_SELL,1100.0,1159.8304901495226,1129.5191628141927,1050.0,1.026835602558357,0.9545454545454546
event_02,2026-01-13,2,SMALL_BUY,1200.0,1259.8437356473646,1229.5578403543434,1100.0,1.0246315336286196,0.9166666666666666
event_02,2026-01-14,3,URGENT_BUY,1000.0,1359.8550610135353,1166.1282352355315,1300.0,1.1661282352355316,1.3
event_02,2026-01-14,3,HEDGE_SELL,1100.0,1459.8648555843515,1267.221898935931,1350.0,1.1520199081235736,1.2272727272727273
event_02,2026-01-14,3,SMALL_BUY,1200.0,1559.8734100953934,1368.1549956472302,1400.0,1.1401291630393584,1.1666666666666667
